队列名,内存最小值,CPU最小值,内存最大值,CPU最大值
root.priority_queues.proccess.ocdc.prod,38943040,6000,204800000,25000
root.priority_queues.proccess.ocdc.dimen,8096000,1500,12122752,3000
root.priority_queues.proccess.ocdc.query,6596000,1500,18192000,4000
root.normal_queues.converge.hjpt.prod,24576000,6000,36864000,9000
root.normal_queues.converge.hjpt.hjstandard,356000,500,13968256,3000
root.normal_queues.converge.hjpt.hjtest,356000,500,8040000,2000
root.normal_queues.proccess.hxxt.yx,42961829,10000,65536000,16000
root.normal_queues.proccess.hxxt.fp,28350080,5000,35986496,10000
root.normal_queues.proccess.hxxt.jh,5120,5,10240,10
root.normal_queues.proccess.hxxt.ot,2048000,500,12288000,3000
root.normal_queues.proccess.hxxt.bp,4194304,1000,10272704,3000
root.normal_queues.proccess.hxxt.yx_test,1048576,100,2026048,500
root.normal_queues.proccess.hxxt.ocsp,2048000,500,4194304,1000
root.normal_queues.proccess.ocdc.prod,38943040,5000,85000000,14000
root.normal_queues.proccess.ocdc.dimen,8096000,1500,42122752,3000
root.normal_queues.proccess.ocdc.query,5120,5,10240,10
root.normal_queues.backstage.yfzx.wzfw,712000,1000,3646464,2500
root.normal_queues.backstage.yfzx.dw,5712000,500,8192000,2000
root.normal_queues.backstage.yfzx.jt_shyfzx_queue_0,5120,5,10240,10
root.normal_queues.backstage.yfzx.op,204800,50,819200,200
root.normal_queues.backstage.yfzx.sjpt,5120,5,10240,10
root.normal_queues.backstage.yfzx.dm,51200,250,10015744,2000
root.normal_queues.backstage.yy.credit_ct,6155000,2000,22528000,5500
root.normal_queues.backstage.yy.sjyy_dm,6155000,2000,18432000,4500
root.normal_queues.backstage.yy.jt_yyc_sqhx,3096000,800,5192000,1200
root.normal_queues.backstage.yy.weizhirc,6155000,2000,16896000,5500
root.normal_queues.backstage.yy.zq-kpi,6579000,1700,7740000,2000
root.normal_queues.backstage.yy.bdmkt,4096000,1000,12288000,3000
root.normal_queues.backstage.yy.zq-khhz,614400,150,1228800,300
root.normal_queues.backstage.sjzl.dpiq,6144000,1500,55434048,8000
root.normal_queues.backstage.sjzl.hjdq,6144000,1500,10386048,2500
root.normal_queues.backstage.sjzl.sjzl,4096000,1000,8192000,2000
root.normal_queues.backstage.ptc.rabd,1280000,500,2560000,1000
root.normal_queues.backstage.ptc.ossgkzz,26214400,6400,32768000,8000
root.normal_queues.backstage.glc.dses,4096000,1000,8192000,2000
root.normal_queues.backstage.glc.dmdc,6553600,1600,12288000,3000
root.normal_queues.backstage.glc.mdcc,1576960,385,2457600,600
,,,,
root.normal_queues.bigplatform.lqy_pro7_csqueue.queue1,67707,20,677066,200
root.normal_queues.bigplatform.lqy_pro7_csqueue.queue2,67706,20,677066,200
root.normal_queues.bigplatform.lqy_pro7_csqueue.queue3,67706,20,677066,200
root.normal_queues.bigplatform.lqy_pro8_csqueue.queue1,135414,40,677066,200
root.normal_queues.bigplatform.lqy_pro8_csqueue.queue2,135413,40,677066,200
root.normal_queues.bigplatform.lqy_pro8_csqueue.queue3,135413,40,677066,200
root.normal_queues.bigplatform.lqy_pro82_csqueue.queue1,135413,40,677065,200
root.normal_queues.bigplatform.xts_pro1_csqueue.queue1,12,7,180,96
root.normal_queues.bigplatform.lxl_pro7_csqueue.queue1,2,2,6,6
root.normal_queues.bigplatform.cqs_pro1_csqueue.queue1,12,7,180,96
root.normal_queues.bigplatform.lxl_pro8_csqueue.queue1,12,7,180,96
root.normal_queues.bigplatform.lxl_pro8_csqueue.queue3,12,6,180,96
root.normal_queues.bigplatform.lxl_pro8_csqueue.queue2,12,6,180,96
root.normal_queues.bigplatform.lxl_pro8_csqueue.queue4,12,6,180,96
root.normal_queues.bigplatform.lxl_pro8_csqueue.queue5,12,6,180,96
root.normal_queues.bigplatform.smh_pro6_csqueue.queue1,2,2,12,12
root.normal_queues.bigplatform.smh_pro8_csqueue.queue1,2,2,12,12
root.normal_queues.bigplatform.smh_pro7_csqueue.queue1,2,2,12,12
root.normal_queues.bigplatform.smh_pro82_csqueue.queue1,2,2,12,12
root.normal_queues.bigplatform.cqs_pro12_csqueue.queue1,2,2,12,12
root.normal_queues.bigplatform.smh_pro42_csqueue.queue1,2,2,12,12
root.normal_queues.bigplatform.smh_pro52_csqueue.queue1,2,2,16,16
root.normal_queues.bigplatform.zjs_pro2_csqueue.queue1,12,7,120,64
root.normal_queues.bigplatform.ygz_pro2_csqueue.queue1,24576,16,245760,160
root.normal_queues.bigplatform.cy_pro1_csqueue.queue1,12,12,120,64
root.normal_queues.bigplatform.cy_pro1_csqueue.queue2,12,6,120,64
root.normal_queues.bigplatform.cy_pro2_csqueue.queue1,12,12,120,64
root.normal_queues.bigplatform.cy_pro3_csqueue.queue1,12,7,120,64
root.normal_queues.bigplatform.cy_pro22_csqueue.queue1,11,4,104,36
root.normal_queues.bigplatform.cy_pro32_csqueue.queue1,12,7,120,64
root.normal_queues.bigplatform.cy_pro4_csqueue.queue1,12,7,120,64
root.normal_queues.bigplatform.cy_pro42_csqueue.queue1,804,24,8040,236
root.normal_queues.bigplatform.smh_pro72_csqueue.queue1,2,2,12,12
root.normal_queues.bigplatform.smh_pro62_csqueue.queue1,2,2,12,12
root.normal_queues.bigplatform.lyp_pro22_csqueue.queue1,2,2,12,12
root.normal_queues.bigplatform.lyp_pro3_csqueue.queue1,2,2,12,12
root.normal_queues.bigplatform.lyp_pro32_csqueue.queue1,2,2,12,12
root.normal_queues.bigplatform.zjs_pro1_csqueue.queue1,32499,7,324992,96
root.normal_queues.bigplatform.zjs_pro1_csqueue.queue2,32499,6,324992,96
root.normal_queues.bigplatform.smh_pro4_csqueue.queue1,12,7,180,96
root.normal_queues.bigplatform.smh_pro5_csqueue.queue1,2,2,6,6
root.normal_queues.bigplatform.wql_pro2_csqueue.queue1,2,2,12,12
root.normal_queues.bigplatform.wsr_pro6_csqueue.queue1,12,4,120,40
root.normal_queues.bigplatform.ryl_pro4_csqueue.queue1,82,2,819,8
root.normal_queues.bigplatform.ryl_pro32_csqueue.queue1,64000,8,480000,40
root.normal_queues.bigplatform.ryl_pro32_csqueue.queue2,64000,8,480000,40
root.normal_queues.bigplatform.ryl_pro3_csqueue.queue1,40000,40,320000,360
root.normal_queues.bigplatform.ryl_pro3_csqueue.queue4,40000,40,320000,360
root.normal_queues.bigplatform.ryl_pro3_csqueue.queue2,2048000,1200,4096000,2400
root.normal_queues.bigplatform.ygz_pro3_csqueue.queue1,24000,8,239998,78
,,,,
root.normal_queues.bigplatform.lxl_pro6_ddqueue,9,9,9,9
root.normal_queues.bigplatform.lxl_pro6_csqueue,6,6,6,6
root.normal_queues.bigplatform.apzh1_pro6_ddqueue,9,9,9,9
root.normal_queues.bigplatform.apzh1_pro6_csqueue,6,6,6,6
root.normal_queues.bigplatform.apzh1_pro7_ddqueue,90,48,270,144
root.normal_queues.bigplatform.apzh1_pro7_csqueue,60,32,180,96
root.normal_queues.bigplatform.apzh1_pro8_ddqueue,90,48,270,144
root.normal_queues.bigplatform.apzh1_pro8_csqueue,60,32,180,96
root.normal_queues.bigplatform.apzh1_pro9_ddqueue,9,9,9,9
root.normal_queues.bigplatform.apzh1_pro9_csqueue,6,6,6,6
root.normal_queues.bigplatform.apzh1_pro10_ddqueue,9,9,9,9
root.normal_queues.bigplatform.apzh1_pro10_csqueue,6,6,6,6
root.normal_queues.bigplatform.apzh1_pro11_ddqueue,9,9,9,9
root.normal_queues.bigplatform.apzh1_pro11_csqueue,6,6,6,6
root.normal_queues.bigplatform.lqy_pro7_ddqueue,507800,150,1015601,300
root.normal_queues.bigplatform.lqy_pro7_csqueue,338533,100,677066,200
root.normal_queues.bigplatform.lqy_pro8_ddqueue,1015600,300,1015601,300
root.normal_queues.bigplatform.lqy_pro8_csqueue,677066,200,677066,200
root.normal_queues.bigplatform.lqy_pro82_ddqueue,1015599,300,1015599,300
root.normal_queues.bigplatform.lqy_pro82_csqueue,677065,200,677065,200
root.normal_queues.bigplatform.xts_pro1_ddqueue,90,48,270,144
root.normal_queues.bigplatform.xts_pro1_csqueue,60,32,180,96
root.normal_queues.bigplatform.lxl_pro7_ddqueue,9,9,9,9
root.normal_queues.bigplatform.lxl_pro7_csqueue,6,6,6,6
root.normal_queues.bigplatform.cqs_pro1_ddqueue,90,48,270,144
root.normal_queues.bigplatform.cqs_pro1_csqueue,60,32,180,96
root.normal_queues.bigplatform.lxl_pro8_ddqueue,90,48,270,144
root.normal_queues.bigplatform.lxl_pro8_csqueue,60,32,180,96
root.normal_queues.bigplatform.smh_pro6_ddqueue,9,9,18,18
root.normal_queues.bigplatform.smh_pro6_csqueue,6,6,12,12
root.normal_queues.bigplatform.smh_pro8_ddqueue,9,9,18,18
root.normal_queues.bigplatform.smh_pro8_csqueue,6,6,12,12
root.normal_queues.bigplatform.smh_pro7_ddqueue,9,9,18,18
root.normal_queues.bigplatform.smh_pro7_csqueue,6,6,12,12
root.normal_queues.bigplatform.smh_pro82_ddqueue,9,9,18,18
root.normal_queues.bigplatform.smh_pro82_csqueue,6,6,12,12
root.normal_queues.bigplatform.cqs_pro12_ddqueue,9,9,18,18
root.normal_queues.bigplatform.cqs_pro12_csqueue,6,6,12,12
root.normal_queues.bigplatform.smh_pro42_ddqueue,9,9,18,18
root.normal_queues.bigplatform.smh_pro42_csqueue,6,6,12,12
root.normal_queues.bigplatform.smh_pro52_ddqueue,12,12,24,24
root.normal_queues.bigplatform.smh_pro52_csqueue,8,8,16,16
root.normal_queues.bigplatform.zjs_pro2_ddqueue,90,48,180,96
root.normal_queues.bigplatform.zjs_pro2_csqueue,60,32,120,64
root.normal_queues.bigplatform.ygz_pro2_ddqueue,184320,120,368640,240
root.normal_queues.bigplatform.ygz_pro2_csqueue,122880,80,245760,160
root.normal_queues.bigplatform.cy_pro1_ddqueue,90,48,180,96
root.normal_queues.bigplatform.cy_pro1_csqueue,60,32,120,64
root.normal_queues.bigplatform.cy_pro2_ddqueue,90,48,180,96
root.normal_queues.bigplatform.cy_pro2_csqueue,60,32,120,64
root.normal_queues.bigplatform.cy_pro3_ddqueue,90,48,180,96
root.normal_queues.bigplatform.cy_pro3_csqueue,60,32,120,64
root.normal_queues.bigplatform.cy_pro22_ddqueue,78,27,156,54
root.normal_queues.bigplatform.cy_pro22_csqueue,52,18,104,36
root.normal_queues.bigplatform.cy_pro32_ddqueue,60,9,120,18
root.normal_queues.bigplatform.cy_pro32_csqueue,40,6,80,12
root.normal_queues.bigplatform.cy_pro4_ddqueue,90,48,180,96
root.normal_queues.bigplatform.cy_pro4_csqueue,60,32,120,64
root.normal_queues.bigplatform.cy_pro42_ddqueue,6030,178,12060,356
root.normal_queues.bigplatform.cy_pro42_csqueue,4020,118,8040,236
root.normal_queues.bigplatform.smh_pro72_ddqueue,9,9,18,18
root.normal_queues.bigplatform.smh_pro72_csqueue,6,6,12,12
root.normal_queues.bigplatform.smh_pro62_ddqueue,9,9,18,18
root.normal_queues.bigplatform.smh_pro62_csqueue,6,6,12,12
root.normal_queues.bigplatform.lyp_pro1_ddqueue,9,9,18,18
root.normal_queues.bigplatform.lyp_pro1_csqueue,6,6,12,12
root.normal_queues.bigplatform.lyp_pro2_ddqueue,9,9,18,18
root.normal_queues.bigplatform.lyp_pro2_csqueue,6,6,12,12
root.normal_queues.bigplatform.lyp_pro22_ddqueue,9,9,18,18
root.normal_queues.bigplatform.lyp_pro22_csqueue,6,6,12,12
root.normal_queues.bigplatform.lyp_pro3_ddqueue,9,9,18,18
root.normal_queues.bigplatform.lyp_pro3_csqueue,6,6,12,12
root.normal_queues.bigplatform.lyp_pro32_ddqueue,9,9,18,18
root.normal_queues.bigplatform.lyp_pro32_csqueue,6,6,12,12
root.normal_queues.bigplatform.zjs_pro1_ddqueue,90000,102,180000,204
root.normal_queues.bigplatform.zjs_pro1_csqueue,60000,68,120000,136
root.normal_queues.bigplatform.smh_pro4_ddqueue,9,9,18,18
root.normal_queues.bigplatform.smh_pro4_csqueue,6,6,12,12
root.normal_queues.bigplatform.smh_pro5_ddqueue,9,9,9,9
root.normal_queues.bigplatform.smh_pro5_csqueue,6,6,6,6
root.normal_queues.bigplatform.zwh_pro1_csqueue,2000000,800,4000000,1600
root.normal_queues.bigplatform.wql_pro2_ddqueue,9,9,18,18
root.normal_queues.bigplatform.wql_pro2_csqueue,6,6,12,12
root.normal_queues.bigplatform.wsr_pro6_ddqueue,90,30,180,60
root.normal_queues.bigplatform.wsr_pro6_csqueue,60,20,120,40
root.normal_queues.bigplatform.fdc_pro19_ddqueue,10,10,30,30
root.normal_queues.bigplatform.fdc_pro19_csqueue,5,5,30,30
root.normal_queues.bigplatform.fdc_pro21_ddqueue,10,10,20,20
root.normal_queues.bigplatform.fdc_pro21_csqueue,5,6,10,12
root.normal_queues.bigplatform.fdc_pro16_ddqueue,90005,151,180010,302
root.normal_queues.bigplatform.fdc_pro16_csqueue,60003,99,120006,198
root.normal_queues.bigplatform.fdc_pro22_ddqueue,60001,61,120002,122
root.normal_queues.bigplatform.fdc_pro22_csqueue,39999,39,79998,78
root.normal_queues.bigplatform.fdc_pro24_ddqueue,6145,10,20480,30
root.normal_queues.bigplatform.fdc_pro24_csqueue,4095,5,20480,30
root.normal_queues.bigplatform.fdc_pro25_ddqueue,6145,10,20480,30
root.normal_queues.bigplatform.fdc_pro25_csqueue,4095,5,20480,30
root.normal_queues.bigplatform.fdc_pro23_ddqueue,6145,10,12290,20
root.normal_queues.bigplatform.fdc_pro23_csqueue,4096,6,8192,12
root.normal_queues.bigplatform.zm_pro1_ddqueue,6145,10,12290,20
root.normal_queues.bigplatform.zm_pro1_csqueue,4096,6,8192,12
root.normal_queues.bigplatform.zm_pro2_ddqueue,180001,121,600000,400
root.normal_queues.bigplatform.zm_pro2_csqueue,119999,79,600000,400
root.normal_queues.bigplatform.zm_pro3_ddqueue,180001,121,600000,400
root.normal_queues.bigplatform.zm_pro3_csqueue,119999,79,600000,400
root.normal_queues.bigplatform.ryl_pro4_ddqueue,257771,61,515542,122
root.normal_queues.bigplatform.ryl_pro4_csqueue,171847,39,343694,78
root.normal_queues.bigplatform.jgf_pro1_ddqueue,480001,121,960002,242
root.normal_queues.bigplatform.jgf_pro1_csqueue,319999,79,639998,158
root.normal_queues.bigplatform.zm_pro6_ddqueue,10,10,30,30
root.normal_queues.bigplatform.zm_pro6_csqueue,5,5,30,30
root.normal_queues.bigplatform.zm_pro7_ddqueue,1201,13,2402,26
root.normal_queues.bigplatform.zm_pro7_csqueue,800,7,1600,14
root.normal_queues.bigplatform.zwh_pro1_ddqueue,3000000,1200,6000000,2400
root.normal_queues.bigplatform.jgf_pro2_ddqueue,480001,121,960002,242
root.normal_queues.bigplatform.jgf_pro2_csqueue,319999,79,639998,158
root.normal_queues.bigplatform.jgf_pro4_ddqueue,539461,148,1798200,490
root.normal_queues.bigplatform.jgf_pro9_ddqueue,10,10,30,30
root.normal_queues.bigplatform.jgf_pro9_csqueue,5,5,30,30
root.normal_queues.bigplatform.jgf_pro10_ddqueue,10,10,30,30
root.normal_queues.bigplatform.jgf_pro10_csqueue,5,5,30,30
root.normal_queues.bigplatform.jgf_pro14_ddqueue,61,10,200,30
root.normal_queues.bigplatform.jgf_pro14_csqueue,39,5,200,30
root.normal_queues.bigplatform.ryl_pro32_csqueue,7999,39,15998,78
root.normal_queues.bigplatform.ryl_pro3_ddqueue,1600,8,15998,78
root.normal_queues.bigplatform.ryl_pro32_ddqueue,800000,200,1600000,400
root.normal_queues.bigplatform.ryl_pro3_csqueue,2048000,1200,4096000,2400
root.normal_queues.bigplatform.jgf_pro8_ddqueue,629372,172,1258744,344
root.normal_queues.bigplatform.jgf_pro8_csqueue,269730,73,539460,146
root.normal_queues.bigplatform.jgf_pro943_ddqueue,9601,61,32000,200
root.normal_queues.bigplatform.jgf_pro943_csqueue,6399,39,32000,200
root.normal_queues.bigplatform.jgf_pro951_ddqueue,10,10,30,30
root.normal_queues.bigplatform.jgf_pro951_csqueue,5,5,30,30
root.normal_queues.bigplatform.jgf_pro952_ddqueue,10,10,30,30
root.normal_queues.bigplatform.jgf_pro952_csqueue,5,5,30,30
root.normal_queues.bigplatform.wsr_pro769_ddqueue,12001,61,24002,122
root.normal_queues.bigplatform.wsr_pro769_csqueue,7999,39,15998,78
root.normal_queues.bigplatform.wsr_pro770_ddqueue,13,13,40,40
root.normal_queues.bigplatform.wsr_pro770_csqueue,7,7,40,40
root.normal_queues.bigplatform.ygz_pro3_ddqueue,180001,61,360002,122
root.normal_queues.bigplatform.ygz_pro3_csqueue,119999,39,239998,78
root.normal_queues.bigplatform.ygz_pro996_csqueue,119999,83,239998,166
root.normal_queues.bigplatform.jgf_pro1003_ddqueue,10,10,30,30
root.normal_queues.bigplatform.jgf_pro1003_csqueue,5,5,30,30